application_id,group,annual_income,credit_score,employment_length,debt_to_income,revolving_util,num_credit_lines,loan_amount,home_ownership,loan_purpose,age,defaulted
L65103,A,"$62,936",715.0,6 years,0.263,0.575,6,17700,MORTGAGE,debt consolidation,41,0
L63558,A,"$85,600",748.0,2 years,0.252,0.8,5,11100,RENT,debt_consolidation,24,0
L61985,B,"$82,915",561.0,1 years,0.45,0.556,8,13500,MORTGAGE,major_purchase,21,1
L61980,B,"$149,077",648.0,< 1 year,0.124,0.738,9,16800,OWN,credit_card,29,0
L61416,B,"$62,086",713.0,4 years,0.137,0.786,8,20900,MORTGAGE,credit_card,42,0
L63838,B,"$96,641",580.0,4 years,0.504,0.709,11,22100,MORTGAGE,debt_consolidation,38,1
L63337,B,"$17,839",656.0,10+ years,0.104,1.098,7,21800,MORTGAGE,medical,36,0
L61269,B,"$22,842",582.0,5 years,0.403,0.482,7,17400,RENT,credit_card,40,1
L63540,A,"$30,396",669.0,3 years,0.375,1.157,8,1000,OWN,credit_card,59,0
L61009,B,"$51,478",739.0,6 years,0.42,0.365,7,13800,mortgage,debt consolidation,71,1
L62095,A,"$96,128",761.0,2 years,0.0,0.014,8,7200,Rent,major_purchase,35,0
L63246,B,"$38,613",701.0,9 years,0.244,0.082,5,21100,RENT,credit_card,56,1
L64938,A,"$68,844",621.0,6 years,0.213,0.7,7,15200,MORTGAGE,home_improvement,51,0
L62529,A,"$72,472",828.0,4 years,0.31,0.099,8,22300,MORTGAGE,debt consolidation,30,1
L61072,A,"$22,747",646.0,3 years,0.418,0.14,8,9900,MORTGAGE,other,50,1
L62859,A,"$102,318",665.0,3 years,0.266,0.625,9,18900,RENT,credit_card,63,0
L61007,B,"$55,059",646.0,< 1 year,0.352,0.464,8,26200,RENT,credit_card,38,1
L63636,A,"$47,024",759.0,3 years,0.11,0.906,6,11500,MORTGAGE,Other,23,0
L63400,B,"$21,844",736.0,6 years,0.194,0.351,6,18200,RENT,debt consolidation,36,1
L62667,A,"$52,751",689.0,3 years,0.263,0.0,4,3400,MORTGAGE,other,36,0
L63927,B,"$16,551",570.0,< 1 year,0.272,0.521,12,26600,OWN,Debt Consolidation,38,0
L60886,A,"$97,236",552.0,7 years,0.104,0.323,10,16100,OWN,other,20,0
L64307,A,"$36,662",640.0,4 years,0.45,0.449,6,9800,MORTGAGE,credit_card,25,1
L60195,B,"$153,484",741.0,< 1 year,0.216,0.75,6,22200,MORTGAGE,debt_consolidation,32,0
L62905,B,"$87,354",720.0,2 years,0.267,0.129,6,12700,RENT,debt_consolidation,31,0
L61137,B,"$25,189",571.0,9 years,0.154,0.357,7,9800,MORTGAGE,medical,41,0
L60376,A,"$50,768",645.0,7 years,0.179,0.461,9,33900,RENT,debt_consolidation,32,0
L62000,A,"$104,816",754.0,2 years,0.259,0.12,14,20400,RENT,debt_consolidation,48,0
L62803,A,"$65,694",721.0,1 years,0.241,0.476,11,12300,RENT,credit_card,57,0
L65197,A,"$40,928",691.0,10+ years,0.253,0.178,11,16600,MORTGAGE,credit_card,41,0
L63456,A,"$62,477",657.0,5 years,0.302,0.178,3,9300,RENT,other,32,1
L61661,A,"$75,035",729.0,3 years,0.235,0.536,17,22100,own,credit_card,36,0
L62584,A,"$60,354",605.0,3 years,0.492,0.553,8,5600,Rent,credit_card,48,0
L61266,B,"$31,403",591.0,6 years,0.431,0.499,7,11800,Rent,home_improvement,37,1
L61930,A,"$52,799",690.0,4 years,0.267,0.28,7,1000,MORTGAGE,other,50,0
L61791,B,"$105,660",,10+ years,0.28,0.169,8,29500,own,debt_consolidation,38,0
L63572,A,"$37,576",725.0,2 years,0.186,0.381,8,21800,RENT,debt_consolidation,40,0
L64381,A,"$24,276",735.0,6 years,0.269,0.459,7,20800,Mortgage,major_purchase,49,0
L60972,B,"$65,358",635.0,7 years,0.128,0.347,7,20100,RENT,debt_consolidation,30,1
L63498,B,"$65,621",784.0,2 years,0.286,0.613,9,36700,MORTGAGE,debt_consolidation,25,1
L63885,A,"$32,288",787.0,5 years,0.292,0.426,11,27600,Mortgage,other,24,0
L60161,B,"$50,658",686.0,7 years,0.161,0.444,9,7700,mortgage,debt_consolidation,46,0
L62127,B,"$43,082",516.0,3 years,0.266,0.574,8,13000,OWN,Major Purchase,37,0
L63341,A,"$60,529",772.0,7 years,0.335,0.48,12,14400,RENT,home_improvement,47,0
L63599,B,"$66,278",697.0,< 1 year,0.167,0.603,14,20900,OWN,debt_consolidation,40,0
L65012,A,"$24,188",656.0,4 years,0.173,0.417,7,17300,Rent,credit_card,36,0
L62854,B,"$67,801",701.0,5 years,0.396,0.143,3,23300,RENT,debt_consolidation,23,0
L62084,A,"$53,411",672.0,10+ years,0.248,0.26,18,19600,MORTGAGE,debt_consolidation,33,0
L63969,A,"$33,395",719.0,4 years,0.014,0.297,6,9200,Mortgage,debt_consolidation,48,0
L62030,A,"$32,400",682.0,3 years,0.197,0.241,7,18900,RENT,credit_card,53,0
L63919,B,"$61,638",710.0,3 years,0.305,0.641,7,8800,Mortgage,home_improvement,58,0
L62595,B,"$78,401",719.0,10+ years,0.236,0.377,5,34100,MORTGAGE,other,37,0
L62690,A,"$124,751",809.0,7 years,0.294,0.808,9,6400,MORTGAGE,debt_consolidation,50,0
L64587,A,"$64,975",661.0,5 years,0.393,0.625,6,20100,OWN,debt_consolidation,45,0
L60733,A,"$74,028",789.0,7 years,0.086,0.517,7,16500,mortgage,credit_card,58,0
L62094,B,"$28,272",718.0,6 years,0.341,0.382,6,3000,OWN,Debt Consolidation,35,0
L61677,A,"$39,166",715.0,4 years,0.291,0.364,8,1000,MORTGAGE,Other,34,1
L62144,B,"$72,421",618.0,10+ years,0.18,0.479,12,4300,OWN,debt_consolidation,48,0
L60516,A,"$74,320",767.0,6 years,0.136,0.473,9,21700,MORTGAGE,debt_consolidation,66,0
L61512,A,"$48,682",638.0,4 years,0.371,0.384,9,10600,MORTGAGE,home_improvement,45,0
L62937,A,"$48,572",840.0,7 years,0.177,0.334,13,32500,MORTGAGE,debt_consolidation,47,0
L62082,A,"$19,703",716.0,4 years,0.21,0.35,7,23800,mortgage,credit_card,36,0
L60786,B,"$54,551",736.0,3 years,0.312,0.285,12,9600,Rent,major_purchase,59,0
L61452,B,"$50,976",480.0,5 years,0.236,0.597,8,11900,RENT,other,22,0
L61314,A,"$130,205",748.0,2 years,0.294,0.649,8,7600,MORTGAGE,debt_consolidation,44,0
L62433,A,"$91,713",639.0,10+ years,0.245,0.282,14,15600,RENT,major_purchase,20,0
L64903,A,"$78,382",661.0,6 years,0.359,0.711,7,16800,RENT,debt_consolidation,54,1
L62346,A,"$41,147",583.0,3 years,0.389,0.27,6,15200,OWN,Other,39,0
L61124,A,"$103,354",583.0,8 years,0.24,0.336,14,8100,RENT,credit_card,49,1
L64781,B,"$127,197",636.0,3 years,0.247,0.55,6,20100,MORTGAGE,debt_consolidation,54,0
L62630,A,"$57,749",722.0,4 years,0.317,0.224,8,9900,Mortgage,credit card,57,0
L62504,A,"$31,084",684.0,6 years,0.241,0.417,9,19400,own,debt_consolidation,66,0
L65009,A,"$53,240",765.0,10+ years,0.222,0.0,13,16800,MORTGAGE,home_improvement,61,0
L64541,A,"$56,138",542.0,7 years,0.38,0.483,7,15300,MORTGAGE,debt_consolidation,41,0
L60139,B,"$21,590",781.0,1 years,0.408,0.806,14,19900,RENT,debt_consolidation,26,1
L64293,B,"$22,152",625.0,3 years,0.166,0.53,11,7900,RENT,debt_consolidation,47,0
L65104,A,"$100,643",643.0,4 years,0.292,0.197,7,27300,MORTGAGE,debt_consolidation,49,0
L62444,B,"$40,321",693.0,9 years,0.338,0.75,7,7700,OWN,credit_card,51,0
L60532,B,"$76,172",707.0,1 years,0.2,0.208,6,14600,RENT,debt_consolidation,48,0
L60063,B,"$33,979",637.0,5 years,0.317,0.583,7,14100,MORTGAGE,debt consolidation,18,0
L61851,A,"$29,611",624.0,2 years,0.156,0.215,9,1000,Rent,debt_consolidation,54,0
L63134,A,"$40,584",624.0,7 years,0.112,0.155,9,2300,MORTGAGE,debt consolidation,39,1
L60959,B,"$107,071",607.0,< 1 year,0.261,0.336,7,11300,MORTGAGE,credit_card,23,0
L61275,A,"$106,952",674.0,10+ years,0.205,0.009,4,16800,RENT,debt_consolidation,21,0
L63597,A,"$175,894",694.0,4 years,0.302,0.401,11,13000,mortgage,debt_consolidation,35,0
L63195,A,n/a,721.0,3 years,0.385,0.699,11,9800,RENT,major_purchase,33,0
L61404,A,"$143,955",694.0,8 years,0.121,0.077,8,17400,OWN,other,43,1
L60009,A,"$95,771",640.0,,0.177,0.488,7,4300,MORTGAGE,credit_card,30,0
L62042,A,"$45,817",722.0,10+ years,0.43,0.59,10,24000,OWN,home_improvement,28,1
L61948,A,"$190,936",801.0,8 years,0.25,0.552,4,14100,RENT,Major Purchase,41,0
L60332,A,"$57,662",647.0,10+ years,0.418,0.877,6,26400,Rent,debt consolidation,39,1
L63728,B,"$47,232",713.0,10 years,0.351,0.699,3,25700,MORTGAGE,debt_consolidation,40,0
L63799,A,"$28,490",646.0,8 years,0.244,0.371,8,7000,MORTGAGE,debt_consolidation,43,0
L63746,A,"$59,689",670.0,5 years,0.278,0.5,10,15300,Rent,credit_card,33,0
L63640,B,"$35,677",687.0,10+ years,0.34,0.615,7,16000,Mortgage,debt_consolidation,32,0
L64501,A,"$51,470",694.0,3 years,0.057,0.519,11,1900,MORTGAGE,debt_consolidation,41,1
L63118,A,"$52,960",676.0,1 years,0.333,0.527,5,11500,mortgage,medical,36,0
L61932,B,"$86,463",658.0,1 years,0.265,0.472,2,10700,MORTGAGE,credit card,31,0
L60631,A,"$98,377",626.0,4 years,0.253,0.3,3,8000,OWN,debt_consolidation,35,0
L63429,A,"$52,066",765.0,2 years,0.324,0.309,7,6600,MORTGAGE,debt_consolidation,64,0
L64915,A,"$31,771",634.0,8 years,0.335,0.014,8,21800,RENT,debt_consolidation,44,0
L64967,B,"$34,470",670.0,6 years,0.239,0.614,9,8600,MORTGAGE,major_purchase,49,1
L64077,B,"$47,591",480.0,10 years,0.296,0.813,5,21000,MORTGAGE,home_improvement,60,0
L64025,B,"$75,552",572.0,4 years,0.234,0.39,5,8900,rent,debt_consolidation,27,0
L64636,A,"$40,282",653.0,4 years,0.251,0.265,6,17100,OWN,major_purchase,39,1
L64191,A,"$58,809",814.0,< 1 year,0.295,0.609,7,22500,OWN,debt_consolidation,38,0
L64470,A,"$49,008",718.0,2 years,0.279,0.441,13,19400,MORTGAGE,debt_consolidation,41,0
L64610,A,"$103,799",625.0,10+ years,0.312,0.056,7,20100,MORTGAGE,debt_consolidation,40,0
L60405,A,"$44,131",699.0,5 years,0.352,0.343,9,14800,Mortgage,other,37,0
L63100,B,"$94,338",676.0,2 years,0.26,0.264,6,1000,RENT,debt_consolidation,43,0
L62335,A,"$93,396",642.0,2 years,0.317,0.236,12,12200,RENT,home_improvement,55,1
L62087,A,"$122,153",710.0,< 1 year,0.378,0.38,7,18100,MORTGAGE,credit_card,37,0
L62350,B,"$62,210",696.0,2 years,0.32,0.752,4,17200,Mortgage,other,58,1
L63036,B,"$48,929",632.0,1 years,0.158,0.635,9,27000,own,home_improvement,34,1
L63380,A,"$117,070",658.0,10+ years,0.184,0.575,6,9600,MORTGAGE,credit_card,40,0
L60526,A,"$39,793",632.0,3 years,0.325,0.549,7,13300,OWN,credit_card,26,0
L64650,A,"$38,534",651.0,3 years,0.145,0.621,14,2600,RENT,debt_consolidation,34,0
L64760,A,"$58,831",735.0,7 years,0.204,0.784,5,13900,MORTGAGE,debt_consolidation,29,0
L61288,A,"$45,528",790.0,3 years,0.333,0.109,9,24300,mortgage,other,44,0
L61825,A,"$25,724",794.0,7 years,0.206,0.513,11,8500,OWN,debt_consolidation,53,1
L64861,A,"$17,911",779.0,5 years,0.303,0.371,5,15700,OWN,credit_card,18,0
L60720,A,"$44,066",720.0,6 years,0.291,0.535,3,26800,MORTGAGE,home_improvement,62,1
L60856,A,"$103,249",645.0,3 years,0.206,0.838,11,4400,RENT,debt_consolidation,37,1
L60557,B,"$159,944",690.0,6 years,0.083,0.531,7,15300,OWN,credit_card,49,0
L62867,B,"$90,707",651.0,3 years,0.238,0.196,6,32500,MORTGAGE,medical,34,0
L64795,A,"$54,786",,10+ years,0.314,0.581,4,12000,Rent,debt_consolidation,18,0
L62739,B,"$40,823",553.0,3 years,0.066,0.073,7,15700,mortgage,debt_consolidation,24,0
L61434,A,"$19,376",753.0,2 years,0.244,0.166,9,4600,MORTGAGE,debt_consolidation,31,0
L63374,A,"$40,561",778.0,4 years,0.437,0.457,2,8900,MORTGAGE,credit_card,60,0
L64393,A,"$22,740",760.0,6 years,0.232,0.403,7,10000,MORTGAGE,home_improvement,52,0
L63845,A,"$59,760",764.0,4 years,0.338,0.305,6,8800,rent,credit_card,38,0
L62719,A,"$127,104",717.0,7 years,0.322,0.444,6,12100,MORTGAGE,credit_card,43,0
L61684,B,"$51,964",640.0,2 years,0.336,0.291,6,25300,OWN,debt_consolidation,32,0
L62821,A,"$32,801",749.0,6 years,0.22,0.396,11,29200,RENT,Debt Consolidation,38,0
L61020,B,"$67,392",594.0,10+ years,0.219,0.642,3,14700,RENT,home_improvement,46,1
L63208,A,"$28,018",683.0,4 years,0.346,0.548,10,5400,OWN,debt_consolidation,25,1
L60511,A,"$73,104",689.0,4 years,0.322,0.569,6,10300,OWN,debt_consolidation,46,0
L63704,B,"$45,098",688.0,6 years,0.444,0.593,8,1000,MORTGAGE,major_purchase,68,1
L63236,B,"$37,318",682.0,6 years,0.442,0.277,8,4600,Mortgage,medical,42,1
L61886,A,"$63,760",710.0,10+ years,0.236,0.3,13,1000,mortgage,medical,40,0
L62954,A,"$66,793",666.0,2 years,0.301,0.717,10,3400,MORTGAGE,Credit Card,37,1
L61798,A,"$50,228",680.0,3 years,0.353,0.793,4,4300,mortgage,other,55,1
L61148,A,"$53,071",771.0,< 1 year,0.281,0.653,7,12800,RENT,major_purchase,45,0
L62107,A,"$147,039",672.0,3 years,0.404,0.591,6,24900,RENT,debt_consolidation,36,1
L61562,A,"$14,716",780.0,10+ years,0.351,0.635,12,3300,MORTGAGE,medical,42,0
L62605,A,"$28,760",751.0,8 years,0.237,0.629,15,28400,MORTGAGE,medical,45,0
L61743,A,"$51,134",650.0,10+ years,0.235,0.382,7,6500,RENT,debt_consolidation,33,0
L60606,A,"$55,598",667.0,2 years,0.347,0.414,4,17800,RENT,credit_card,62,1
L62563,B,"$71,714",736.0,3 years,0.189,0.719,8,19900,OWN,debt_consolidation,37,0
L64813,B,"$89,806",612.0,< 1 year,0.199,0.864,7,24100,RENT,debt_consolidation,38,0
L61331,B,"$56,532",597.0,9 years,0.297,0.33,6,1000,MORTGAGE,debt_consolidation,52,0
L61648,B,"$31,367",597.0,< 1 year,0.211,0.257,7,9200,OWN,debt_consolidation,45,0
L61181,A,"$48,817",723.0,10+ years,0.33,0.523,8,10600,rent,credit_card,27,0
L63277,B,"$160,597",645.0,6 years,0.227,0.736,5,8500,mortgage,major_purchase,38,0
L63535,A,"$76,285",813.0,6 years,0.329,0.347,7,29500,MORTGAGE,other,40,0
L61769,B,"$56,741",699.0,3 years,0.272,0.541,4,15600,OWN,credit_card,51,1
L61755,B,"$93,144",718.0,8 years,0.155,0.647,15,7200,Mortgage,medical,37,0
L64445,A,"$38,218",738.0,9 years,0.323,0.469,5,7900,RENT,Medical,53,0
L61345,A,"$21,820",737.0,1 years,0.324,0.18,8,16900,RENT,Credit Card,45,0
L60510,A,"$91,392",629.0,10+ years,0.151,0.598,16,17700,RENT,credit_card,29,1
L61676,B,"$48,306",625.0,< 1 year,0.332,0.239,10,3900,MORTGAGE,debt_consolidation,31,1
L62061,B,"$40,407",728.0,1 years,0.225,0.652,9,1000,rent,credit_card,35,0
L65059,A,"$25,164",746.0,< 1 year,0.349,0.568,7,10700,MORTGAGE,credit_card,38,0
L60456,A,"$36,179",765.0,1 years,0.258,0.113,7,15300,RENT,home_improvement,43,0
L61808,A,"$29,700",806.0,10+ years,0.552,0.25,9,29700,Own,medical,26,0
L62705,A,"$77,773",592.0,,0.295,0.382,9,25900,mortgage,debt_consolidation,41,1
L60756,A,"$86,862",674.0,2 years,0.28,0.917,10,1000,Mortgage,debt_consolidation,30,0
L62764,A,"$52,320",730.0,4 years,0.148,0.537,8,21100,RENT,credit_card,44,0
L63609,B,"$28,634",681.0,9 years,0.133,0.623,4,15500,Rent,debt_consolidation,47,0
L61065,B,"$53,432",593.0,4 years,0.412,0.44,4,5200,RENT,credit card,33,1
L61265,B,"$27,407",632.0,2 years,0.374,0.505,6,1000,OWN,debt_consolidation,41,1
L64213,A,"$28,344",764.0,5 years,0.101,0.542,2,1000,own,other,48,0
L61819,A,"$50,720",743.0,10+ years,0.165,0.443,9,19000,RENT,debt_consolidation,44,0
L60691,A,"$39,577",648.0,6 years,0.293,0.148,11,10700,own,medical,29,0
L64136,B,"$89,810",727.0,10+ years,0.346,0.432,8,1000,RENT,credit_card,43,0
L64407,B,"$39,509",722.0,5 years,0.273,0.424,7,12000,Mortgage,debt_consolidation,18,0
L60501,B,"$55,519",569.0,1 years,0.254,0.501,10,15300,MORTGAGE,debt_consolidation,27,1
L62168,A,"$85,292",694.0,5 years,0.409,0.254,12,1000,RENT,major_purchase,44,0
L65192,B,"$51,544",614.0,7 years,0.324,0.775,4,20700,MORTGAGE,home_improvement,42,1
L61038,A,"$38,650",759.0,10+ years,0.235,0.12,7,16200,own,Medical,21,0
L61021,A,"$52,976",777.0,10+ years,0.326,0.718,10,5900,MORTGAGE,home_improvement,44,0
L60357,A,"$41,982",718.0,8 years,0.275,0.357,10,26100,RENT,credit_card,22,1
L64028,B,"$72,927",650.0,4 years,0.235,0.358,9,7100,RENT,credit_card,19,0
L61508,A,"$63,017",683.0,5 years,0.466,0.28,7,13300,RENT,debt_consolidation,43,0
L60210,A,"$33,576",674.0,10+ years,0.096,0.79,7,17500,RENT,major_purchase,18,0
L60440,B,"$31,924",619.0,3 years,0.186,0.439,6,23800,MORTGAGE,other,28,0
L62081,B,"$54,753",581.0,< 1 year,0.22,0.161,12,16100,Rent,medical,48,0
L64584,A,"$155,733",625.0,8 years,0.296,0.256,8,1000,OWN,credit_card,44,0
L60736,B,"$47,690",673.0,6 years,0.179,0.339,5,22600,RENT,credit card,28,0
L64484,B,"$40,691",613.0,4 years,0.328,0.463,3,6900,RENT,debt consolidation,27,0
L63367,A,"$172,702",536.0,3 years,0.24,0.286,3,1000,Mortgage,debt_consolidation,34,0
L64735,A,"$32,504",709.0,10+ years,0.213,0.119,5,14600,RENT,medical,46,0
L64687,A,"$50,156",683.0,5 years,0.248,0.554,8,9600,MORTGAGE,debt consolidation,36,1
L60716,B,"$122,681",663.0,6 years,0.294,0.726,7,9700,mortgage,debt_consolidation,29,0
L63910,A,"$58,036",792.0,10+ years,0.309,0.263,6,10100,Mortgage,debt_consolidation,44,0
L64126,A,"$72,615",808.0,10+ years,0.086,0.376,7,25800,Mortgage,debt_consolidation,29,0
L60903,A,"$33,232",742.0,4 years,0.373,0.149,8,5600,Rent,other,33,0
L61334,A,"$43,548",611.0,1 years,0.193,0.304,9,17100,MORTGAGE,debt_consolidation,18,1
L64038,A,"$75,686",728.0,< 1 year,0.208,0.7,10,3400,RENT,credit_card,55,0
L64414,A,"$83,543",638.0,2 years,0.41,0.3,8,12600,RENT,Debt Consolidation,53,1
L62280,B,"$84,124",570.0,10+ years,0.502,0.427,11,12100,own,debt_consolidation,28,0
L61102,A,"$51,833",611.0,3 years,0.194,0.42,8,4900,Mortgage,credit card,59,0
L61030,A,"$94,931",688.0,8 years,0.306,0.53,7,16700,Rent,debt_consolidation,44,0
L65048,A,"$130,618",697.0,8 years,0.132,0.194,10,18000,MORTGAGE,major_purchase,45,1
L62960,B,"$44,335",723.0,< 1 year,0.428,1.03,5,1000,Rent,medical,27,1
L64675,A,"$33,222",840.0,2 years,0.488,0.544,10,8900,OWN,debt_consolidation,39,0
L61668,B,"$36,405",727.0,5 years,0.213,0.183,6,1000,rent,medical,39,0
L64583,A,"$53,019",711.0,9 years,0.336,0.605,11,41400,MORTGAGE,medical,24,0
L61106,A,"$30,015",579.0,10+ years,0.23,0.227,3,10000,MORTGAGE,home_improvement,18,0
L62917,B,"$72,702",731.0,7 years,0.442,0.52,5,19300,MORTGAGE,debt_consolidation,23,1
L62873,A,"$45,888",,7 years,0.349,0.589,18,8700,RENT,debt_consolidation,53,0
L61624,B,"$31,137",644.0,6 years,0.191,1.007,8,24300,RENT,major_purchase,37,1
L61383,A,"$56,344",721.0,4 years,0.115,0.094,3,18100,RENT,debt_consolidation,38,0
L63144,B,"$38,082",699.0,1 years,0.393,0.419,3,15000,RENT,home_improvement,38,1
L64826,B,"$66,589",618.0,3 years,0.328,0.525,12,21000,MORTGAGE,debt_consolidation,39,1
L64944,B,"$31,378",709.0,4 years,0.282,0.53,3,27800,RENT,home_improvement,39,0
L60944,A,"$30,754",656.0,10+ years,0.368,0.485,8,27300,MORTGAGE,credit_card,18,0
L63370,A,"$57,850",666.0,3 years,0.191,0.718,9,13000,RENT,debt_consolidation,18,0
L62779,B,"$33,280",713.0,< 1 year,0.242,0.086,6,13000,OWN,debt_consolidation,38,0
L60507,A,"$123,818",623.0,7 years,0.287,0.962,7,26500,MORTGAGE,major_purchase,36,0
L63741,A,"$54,634",789.0,9 years,0.381,0.576,15,17000,MORTGAGE,debt consolidation,29,1
L62003,B,"$108,952",654.0,10+ years,0.413,0.625,5,13900,MORTGAGE,other,38,1
L61788,A,"$73,983",623.0,3 years,0.459,0.533,7,7700,RENT,other,39,1
L63170,A,"$24,143",656.0,2 years,0.298,0.283,9,13100,MORTGAGE,credit_card,39,1
L61120,A,"$24,306",636.0,10+ years,0.543,0.524,10,14800,MORTGAGE,medical,58,0
L62346,A,"$41,147",583.0,3 years,0.389,0.27,6,15200,OWN,Other,39,0
L64969,A,"$26,446",761.0,8 years,0.332,0.27,15,21900,OWN,medical,44,0
L62221,B,"$67,753",670.0,4 years,0.124,0.418,9,11300,mortgage,major_purchase,23,0
L62649,B,"$41,938",658.0,4 years,0.275,0.282,12,15700,RENT,credit_card,39,1
L60772,A,"$76,319",620.0,10+ years,0.482,0.427,10,3200,RENT,home_improvement,51,1
L61695,A,"$61,731",746.0,10+ years,0.233,0.687,4,30800,rent,credit_card,18,1
L64716,A,"$28,376",840.0,3 years,0.065,0.496,10,17900,RENT,debt_consolidation,63,0
L61219,A,"$60,223",657.0,4 years,0.482,0.527,4,4200,RENT,Home Improvement,37,0
L64655,A,"$55,581",692.0,8 years,0.249,0.57,15,17300,MORTGAGE,major_purchase,31,0
L64712,A,"$118,894",771.0,4 years,0.291,0.519,9,25900,mortgage,debt_consolidation,50,0
L61556,B,"$53,080",740.0,< 1 year,0.378,0.255,5,11800,MORTGAGE,medical,44,0
L64297,B,"$146,362",705.0,10+ years,0.312,0.184,6,12500,Mortgage,major_purchase,41,0
L61539,B,"$49,106",690.0,2 years,0.487,0.314,5,26100,RENT,debt_consolidation,23,0
L64734,A,"$24,138",586.0,8 years,0.156,0.368,10,21900,MORTGAGE,debt_consolidation,32,0
L63313,A,"$39,756",741.0,6 years,0.089,0.0,7,13400,Rent,home_improvement,40,0
L65020,A,"$136,217",764.0,,0.297,0.647,11,25800,MORTGAGE,debt_consolidation,27,0
L62035,A,"$25,356",676.0,3 years,0.198,0.061,8,3800,Rent,major_purchase,33,0
L62476,B,"$61,454",616.0,4 years,0.275,0.722,6,5000,own,debt_consolidation,32,1
L64144,B,"$59,397",741.0,6 years,0.256,0.581,9,12900,RENT,debt_consolidation,40,0
L60227,B,"$60,772",771.0,10+ years,0.385,0.056,6,10800,RENT,debt_consolidation,30,0
L63029,B,"$49,314",763.0,10+ years,0.303,0.544,10,22800,MORTGAGE,debt_consolidation,50,0
L62271,A,"$51,840",712.0,7 years,0.101,0.159,6,8700,OWN,medical,28,0
L64337,B,"$65,989",619.0,10+ years,0.409,0.415,4,14800,Mortgage,home_improvement,45,1
L63316,A,"$82,149",704.0,10+ years,0.107,0.199,9,12300,rent,debt_consolidation,30,0
L63081,B,"$27,637",670.0,9 years,0.284,0.249,6,6700,Rent,Home Improvement,51,0
L62377,A,"$58,637",714.0,10+ years,0.195,0.274,11,11800,RENT,debt_consolidation,51,0
L64432,A,"$66,920",657.0,2 years,0.393,0.425,6,12500,OWN,debt_consolidation,33,0
L60883,A,"$75,744",672.0,7 years,0.28,0.686,9,1000,mortgage,debt_consolidation,40,0
L61000,A,"$41,319",772.0,< 1 year,0.224,0.419,10,30800,Own,debt_consolidation,29,0
L61208,A,"$88,968",695.0,5 years,0.351,0.318,6,23000,Own,debt_consolidation,51,1
L61665,A,"$94,630",687.0,10+ years,0.335,0.504,8,13400,rent,credit_card,24,0
L61093,A,"$94,304",699.0,9 years,0.377,0.285,13,25400,RENT,other,4,0
L64029,A,"$22,136",691.0,10+ years,0.319,0.279,12,30200,RENT,home_improvement,25,0
L64745,B,"$30,558",684.0,9 years,0.061,0.438,7,17900,RENT,credit_card,37,1
L60435,B,"$108,091",741.0,10+ years,0.479,0.44,4,14600,MORTGAGE,other,70,1
L62592,B,"$32,231",587.0,9 years,0.381,0.474,13,20900,OWN,medical,30,0
L64429,A,"$65,200",677.0,6 years,0.291,0.08,4,11500,MORTGAGE,debt_consolidation,52,0
L63801,B,"$69,112",617.0,2 years,0.327,0.391,10,11200,RENT,other,64,0
L62426,B,"$43,979",650.0,4 years,0.332,0.472,8,21500,Rent,Medical,26,1
L62333,B,"$35,815",727.0,7 years,0.3,0.428,14,19600,RENT,Home Improvement,31,0
L61757,B,"$43,266",707.0,< 1 year,0.35,1.024,7,6200,own,Major Purchase,55,0
L64514,B,"$46,863",736.0,10+ years,0.416,0.319,11,19700,MORTGAGE,debt_consolidation,47,0
L61718,A,"$59,187",588.0,4 years,0.465,0.39,10,2400,rent,debt_consolidation,63,0
L62637,B,"$38,961",745.0,< 1 year,0.214,0.488,10,10300,RENT,debt_consolidation,42,0
L60578,B,"$56,606",715.0,4 years,0.3,0.749,5,11400,mortgage,home_improvement,19,1
L61687,B,"$66,046",636.0,< 1 year,0.356,0.156,6,4100,MORTGAGE,debt_consolidation,40,1
L61633,A,"$33,152",670.0,10+ years,0.312,0.32,10,9500,MORTGAGE,credit_card,20,0
L61410,B,"$37,121",756.0,8 years,0.421,0.447,5,4500,Mortgage,medical,25,1
L62062,A,"$82,351",700.0,4 years,0.08,0.1,12,15900,RENT,debt_consolidation,35,0
L61083,A,"$42,906",683.0,5 years,0.326,0.251,6,4800,MORTGAGE,debt_consolidation,45,0
L63864,A,"$63,445",696.0,10+ years,0.22,0.332,8,32400,MORTGAGE,major_purchase,45,0
L62108,A,"$26,583",644.0,1 years,0.26,0.334,14,15700,MORTGAGE,debt_consolidation,65,0
L64039,A,"$51,689",688.0,4 years,0.334,0.63,8,11000,RENT,credit_card,59,0
L61540,B,"$155,423",681.0,2 years,0.296,0.396,4,23100,RENT,debt_consolidation,48,0
L64527,A,"$99,422",560.0,6 years,0.33,0.217,6,22700,MORTGAGE,credit_card,18,0
L64242,A,"$41,442",665.0,6 years,0.32,0.471,4,9900,Rent,medical,46,0
L62431,A,"$23,378",762.0,8 years,0.35,0.486,10,35300,Mortgage,debt_consolidation,51,1
L60069,B,"$24,773",779.0,2 years,0.417,0.319,6,25600,RENT,debt_consolidation,26,1
L61925,A,"$47,083",607.0,< 1 year,0.058,0.153,6,21400,RENT,debt_consolidation,49,0
L61029,B,"$64,512",611.0,10+ years,0.307,0.217,4,10600,RENT,major_purchase,40,1
L62559,B,"$65,366",683.0,7 years,0.236,0.0,7,2900,RENT,credit_card,47,0
